key,description
d2w,delete the next two words
d3w,delete the next three words
dW,delete the next WORD
d3W,delete the next three WORDS
c2w,change the next two words
c3w,change the next three words
ciw,change inside the current word
diw,delete inside the current word
yiw,yank inside the current word
daw,delete around the current word
caw,change around the current word
dW,delete from the cursor to the start of the next token
d2W,delete from the cursor to the start of the next two tokens
d3W,delete from the cursor to the start of the next three tokens
ge,move to the end of the previous word
W,move to the beginning of the next word
B,move to the beginning of the previous word
de,delete from the cursor to the end of the current word
d2e,delete from the cursor to the end of the next word
c2e,change the current word to the end of the next word
yiW,yank the inner word under the cursor
yiW,yank the inner WORD under the cursor
ciw,change the inner word under the cursor
ciW,change the inner WORD under the cursor
d2e,delete to the end of the next two words
d3e,delete to the end of the next three words
d2e,"delete to the end of the next two words, including punctuation"
d3e,"delete to the end of the next three words, including punctuation"
d$,"delete from the cursor to the end of the current line, including the end of the current word"
d$,"delete from the cursor to the end of the current line, including the end of the current WORD"
d0,"delete from the cursor to the beginning of the current line, including the end of the current word"
d0E,"delete from the cursor to the beginning of the current line, including the end of the current WORD"
dE,delete to the end of a token
cE,change to the end of a token
ye,yank to the end of a token
d2E,delete to the end of the second token
c3E,change to the end of the third token
de,delete to the end of the current word
d$,delete to the end of the line
d0,delete to the beginning of the line
d3e,delete to the end of the third word
d2$,delete to the end of the second line
d%,delete to the matching parenthesis
d),delete to the end of the current sentence
0d$,delete from the beginning to the end of the line
d$,delete from the beginning to the end of the line without moving the cursor
w,move to the beginning of the next word
b,move to the beginning of the previous word
e,move to the end of the current word
E,move to the end of the current WORD
f<char>,move to the next occurrence of <char> in the current line
F<char>,move to the previous occurrence of <char> in the current line
t<char>,move to just before the next occurrence of <char> in the current line
T<char>,move to just before the previous occurrence of <char> in the current line
gg0,move to the beginning of the file
G,move to the end of the file
Ctrl+u,move half a screen up
Ctrl+d,move half a screen down
Ctrl+f,move a full screen down
Ctrl+b,move a full screen up
0,move to the beginning of the current line
^,move to the first non-blank character of the current line
$,move to the end of the current line
g_,move to the last non-blank character of the current line
$,Move to the end of the current line
$,"Move to the end of the current line, including the newline character"
$j,"Move to the end of the line, then down one line"
$k,"Move to the end of the line, then up one line"
e$,"Move to the end of the current word, then to the end of the line"
b$,"Move to the end of the previous word, then to the end of the line"
0f;$,"Move to the next occurrence of ';' on the current line, then to the end of the line"
0t;$,"Move to just before the next occurrence of ';' on the current line, then to the end of the line"
d$,Delete from the cursor position to the end of the line
c$,Change from the cursor position to the end of the line
d$,Delete from the cursor position to the end of the line without entering insert mode
y$,Yank from the cursor position to the end of the line
gUU,Change the case of the current line to uppercase
0gu$,Change the case of the current line to lowercase
0g~$,Toggle the case of the current line
>>,Indent the current line one shiftwidth to the right
<<,Indent the current line one shiftwidth to the left
gqq,Format the current line to fit within the 'textwidth' setting
gqG,Format the current line and all following lines to fit within the 'textwidth' setting
0,move to the beginning of the line
$,move to the end of the line
gg,move to the first line of the file
G,move to the last line of the file
2e,move to the end of the next word
d^,delete from the cursor position to the first non-blank character of the line
c^,change from the cursor position to the first non-blank character of the line
y^,yank from the cursor position to the first non-blank character of the line
d0,delete from the cursor position to the beginning of the line
c0,change from the cursor position to the beginning of the line
y0,yank from the cursor position to the beginning of the line
d$,delete from the cursor position to the end of the line
c$,change from the cursor position to the end of the line
y$,yank from the cursor position to the end of the line
dgg,delete from the cursor position to the first line of the file
cgg,change from the cursor position to the first line of the file
ygg,yank from the cursor position to the first line of the file
dG,delete from the cursor position to the last line of the file
cG,change from the cursor position to the last line of the file
yG,yank from the cursor position to the last line of the file
dW,delete from the cursor position to the beginning of the next WORD
cW,change from the cursor position to the beginning of the next WORD
yW,yank from the cursor position to the beginning of the next WORD
dB,delete from the cursor position to the beginning of the previous WORD
cB,change from the cursor position to the beginning of the previous WORD
yB,yank from the cursor position to the beginning of the previous WORD
d2E,delete from the cursor position to the end of the next WORD
cE,change from the cursor position to the end of the next WORD
yE,yank from the cursor position to the end of the next WORD'
dF<char>,delete from the cursor position to the next occurrence of <char> in the current line
cf<char>,change from the cursor position to the next occurrence of <char> in the current line
yF<char>,yank from the cursor position to the next occurrence of <char> in the current line
dt<char>,delete from the cursor position to just before the next occurrence of <char> in the current line
ct<char>,change from the cursor position to just before the next occurrence of <char> in the current line
yt<char>,yank from the cursor position to just before the next occurrence of <char> in the current line
dF<char>,delete from the cursor position to the previous occurrence of <char> in the current line
cF<char>,change from the cursor position to the previous occurrence of <char> in the current line
yF<char>,yank from the cursor position to the previous occurrence of <char> in the current line
dT<char>,delete from the cursor position to just before the previous occurrence of <char> in the current line
cT<char>,change from the cursor position to just before the previous occurrence of <char> in the current line
yT<char>,yank from the cursor position to just before the previous occurrence of <char> in the current line
d%,"delete from the cursor position to the matching parenthesis, bracket, or brace"
c%,"change from the cursor position to the matching parenthesis, bracket, or brace"
y%,"yank from the cursor position to the matching parenthesis, bracket, or brace"
d{,delete from the cursor position to the beginning of the current paragraph
c{,change from the cursor position to the beginning of the current paragraph
y{,yank from the cursor position to the beginning of the current paragraph
1G,move to the first line of the file
#G,move to line number #
Ctrl+b,move backward one full screen
Ctrl+d,move forward half a screen
Ctrl+u,move backward half a screen
Ctrl+e,move screen down one line
Ctrl+y,move screen up one line
Ctrl+f,move forward 1 full screen
Ctrl+b,move back 1 full screen
gg,move to the beginning of the file
5j,move down 5 lines
5k,move up 5 lines
E,move to the end of the current word
T<char>,move to just after the previous occurrence of <char> in the current line
Hj,move to the top of the screen and down one line
Hk,move to the top of the screen and up one line
H0,move to the top of the screen and to the beginning of the line
H$,move to the top of the screen and to the end of the line
Hw,move to the top of the screen and to the beginning of the next word
Hb,move to the top of the screen and to the beginning of the previous word
Hl,move to the top of the screen and forward one character
Hh,move to the top of the screen and backward one character
gg,move to the top of the screen and to the beginning of the file
G,move to the top of the screen and to the end of the file
HdG,move to the top of the screen and delete from the current position to the end of the file
Hdd,move to the top of the screen and delete the current line
Hyy,move to the top of the screen and yank (copy) the current line
Hp,move to the top of the screen and paste after the current line
Hddp,"move to the top of the screen, delete the current line, and paste it after the next line"
H3j,move to the top of the screen and down three lines
H3k,move to the top of the screen and up three lines
Ctrl+u,move up half a screen
Ctrl+d,move down half a screen
Ctrl+f,move forward one screen
Ctrl+b,move backward one screen
Ctrl+e,scroll the screen down one line
Ctrl+y,scroll the screen up one line
Ctrl+g,display the current file name and position
dL,delete from the cursor to the bottom of the screen
yL,yank from the cursor to the bottom of the screen
cL,change from the cursor to the bottom of the screen
Lw,"move to the bottom of the screen, then to the beginning of the next word"
L$,"move to the bottom of the screen, then to the end of the line"
L0,"move to the bottom of the screen, then to the beginning of the line"
Lgg,"move to the bottom of the screen, then to the top of the file"
Ldd,"move to the bottom of the screen, then delete the current line"
Lyy,"move to the bottom of the screen, then yank the current line"
Lciw,"move to the bottom of the screen, then change the current word"
Ldiw,"move to the bottom of the screen, then delete the current word"
Lci(,"move to the bottom of the screen, then change the text inside parentheses"
Ldi(,"move to the bottom of the screen, then delete the text inside parentheses"
"Lci""","move to the bottom of the screen, then change the text inside double quotes"
"Ldi""","move to the bottom of the screen, then delete the text inside double quotes"
Lci',"move to the bottom of the screen, then change the text inside single quotes"
Ldi',"move to the bottom of the screen, then delete the text inside single quotes"
Gci{,"move to the bottom of the screen, then change the text inside curly braces"
Ldi{,"move to the bottom of the screen, then delete the text inside curly braces"
gI,switch to insert mode at the beginning of the line
A,switch to insert mode at the end of the line
o,open a new line below and switch to insert mode
O,open a new line above and switch to insert mode
ea,switch to insert mode at the end of the current word
ea,move to the end of the current word and switch to insert mode
ciw,change the current word and switch to insert mode
diW,delete the current word
yiw,yank the current word
c$,change from the cursor to the end of the line and switch to insert mode
d$,delete from the cursor to the end of the line
y$,yank from the cursor to the end of the line
c0,change from the cursor to the beginning of the line and switch to insert mode
d0,delete from the cursor to the beginning of the line
y0,yank from the cursor to the beginning of the line
c2w,change the next two words and switch to insert mode
y2w,yank the next two words
0I,delete from the beginning of the line and insert text at the beginning
I,change from the beginning of the line and insert text at the beginning
o,switch to insert mode after the cursor on the next line
a,switch to insert mode after the cursor within the current block
a,switch to insert mode after the cursor within the current WORD
A,switch to insert mode after the cursor at the end of the line
I,switch to insert mode after the cursor at the beginning of the line
^a,switch to insert mode after the cursor at the first non-blank character of the line
Ga,switch to insert mode after the cursor at the end of the document
Ha,switch to insert mode after the cursor at the top of the screen
o,switch to insert mode after the cursor at the bottom of the screen
aM,switch to insert mode after the cursor at the middle of the screen
%a,"switch to insert mode after the cursor matching the parenthesis, bracket, or brace"
as,switch to insert mode after the cursor at the beginning of the current sentence
)a,switch to insert mode after the cursor at the beginning of the next sentence
I,switch to insert mode after the cursor at the beginning of the current line
A,Insert text at the end of the line
o<Esc>,open a new line below and return to Normal mode
O<Esc>,open a new line above and return to Normal mode
3o<Esc>,open three new lines below and return to Normal mode
3O<Esc>,open three new lines above and return to Normal mode
de,delete from cursor to the end of the word
ce,change from cursor to the end of the word
ye,yank from cursor to the end of the word
d$a,delete from cursor to the end of the line and insert text at the end of the word
c$a,change from cursor to the end of the line and insert text at the end of the word
y$ea,yank from cursor to the end of the line and insert text at the end of the word
d2w,delete two words forward from cursor
c2w,change two words forward from cursor
y2w,yank two words forward from cursor
d3ea,delete three words forward from cursor and insert text at the end of the word
c3e,change three words forward from cursor and insert text at the end of the word
y3w,yank three words forward from cursor and insert text at the end of the word
2d$ea,delete from cursor to the end of the line twice and insert text at the end of the word
2c$ea,change from cursor to the end of the line twice and insert text at the end of the word
2y$ea,yank from cursor to the end of the line twice and insert text at the end of the word
rA,replace the current character with 'A'
r1,replace the current character with '1'
r.,replace the current character with '.'
r:,replace the current character with ':'
r>,replace the current character with '>'
dd,delete the current line
2dd,delete the current line and the line below
3dd,delete the current line and the next two lines
dG,delete from the current line to the end of the file
dgg,delete from the current line to the beginning of the file
daw,delete the word under the cursor along with surrounding whitespace
diw,delete the word under the cursor without surrounding whitespace
d2w,delete the current word and the next word
d3w,delete the current word and the next two words
dw,delete from the cursor position to the end of the current word
db,delete from the cursor position to the beginning of the current word
dj,delete the current line and the next line
d2j,delete the current line and the next two lines
dk,delete the current line and the previous line
d2k,delete the current line and the previous two lines
C,replace from the cursor to the end of the line
cw,replace from the cursor to the end of the current word
c2w,replace from the cursor to the end of the next two words
D,delete from the cursor to the end of the line
dw,delete from the cursor to the end of the current word
d2w,delete from the cursor to the end of the next two words
cw,replace from the cursor to the end of the current word and append after the word
c2wA,replace from the cursor to the end of the next two words and append after the words
c$o,replace from the cursor to the end of the line and append after the line
dea,delete from the cursor to the end of the current word and append after the word
d2wp,delete from the cursor to the end of the next two words and append after the words
d$o,delete from the cursor to the end of the line and append after the line
cw,replace from the cursor to the end of the current word and insert before the word
c2w,replace from the cursor to the end of the next two words and insert before the words
c$O,replace from the cursor to the end of the line and insert before the line
dW,delete from the cursor to the beginning of the next word
c$,change from the cursor to the end of the line
cW,change from the cursor to the beginning of the next word
"ci""",change inside the current double quotes
"di""",delete inside the current double quotes
"yi""",yank inside the current double quotes
ci(,change inside the current parentheses
di(,delete inside the current parentheses
yi(,yank inside the current parentheses
ci{,change inside the current curly braces
di{,delete inside the current curly braces
yi{,yank inside the current curly braces
ci[,change inside the current square brackets
di[,delete inside the current square brackets
yi[,yank inside the current square brackets
cB,change from the cursor to the beginning of the previous word
dB,delete from the cursor to the beginning of the previous word
cE,change from the cursor to the end of the current word
dE,delete from the cursor to the end of the current word
cw,delete a word (and move into insert mode)
cW,delete a WORD (and move into insert mode)
S,delete a line (and move into insert mode)
c$,delete from cursor to end of line (and move into insert mode)
c0,delete from cursor to beginning of line (and move into insert mode)
cG,delete from cursor to end of file (and move into insert mode)
cgg,delete from cursor to beginning of file (and move into insert mode)
c2j,delete two lines below cursor (and move into insert mode)
c2k,delete two lines above cursor (and move into insert mode)
c3w,delete three words forward (and move into insert mode)
c3b,delete three words backward (and move into insert mode)
c3j$,delete from cursor to end of line three lines below (and move into insert mode)
c3k,delete from cursor to beginning of file three lines above (and move into insert mode)
c/f,delete from cursor to first occurrence of 'f' (and move into insert mode)
cTt,delete from cursor to just before first occurrence of 't' (and move into insert mode)
c/word,delete from cursor to next occurrence of 'word' (and move into insert mode)
c?word,delete from cursor to previous occurrence of 'word' (and move into insert mode)
4J,merge the next three lines to the current one with spaces in between
4J,merge the current line with the next three lines with spaces in between
ddJ,delete the current line and merge the next one with a space in between
dd3J,delete the current line and merge the next three lines with spaces in between
dd2J,delete the current line and merge the next two lines with spaces in between
J,merge the current line with the next one and delete it
3J,merge the current line with the next three lines and delete them
J,merge the current line with the next one and delete the current line
J2,merge the current line with the next two lines and delete the current line
4J,merge the current line with the next three lines and delete the current line
Jp,merge the current line with the next one and paste the clipboard after it
3Jp,merge the current line with the next three lines and paste the clipboard after it
Jyy,merge the current line with the next one and yank the result
3Jyy,merge the current line with the next three lines and yank the result
4JP,merge the current line with the next three lines and paste the clipboard before it
2Jp,merge the current line with the next two lines and paste the clipboard after it
3Jyy,merge the current line with the next two lines and yank the result
gJ3,merge the next three lines to the current one with no space in between them
2jgJ,move down two lines and merge the line below to the current one with no space in between them
3kgJ,move up three lines and merge the line below to the current one with no space in between them
gJ,delete the line below and merge it to the current one with no space in between them
4gJ,delete the next three lines and merge them to the current one with no space in between them
gJ3j,yank the next three lines and merge them to the current one with no space in between them
4gJ,paste the next three lines below and merge them to the current one with no space in between them
3gJ,paste the next three lines above and merge them to the current one with no space in between them
3gJ,change the next three lines and merge them to the current one with no space in between them
gJ3j,change the next three lines to the end of the line and merge them to the current one with no space in between them
d$gJ,delete from the cursor to the end of the line and merge it to the current one with no space in between them
3dWgJ,delete the next three WORDS and merge them to the current one with no space in between them
gJd3),delete the next three sentences and merge them to the current one with no space in between them
3dEgJ,delete the next three SENTENCES and merge them to the current one with no space in between them
u,undo the last change
Ctrl+r,redo the last undone change
dw,delete word
dW,delete WORD
dd,delete line
D,delete to end of line
d$,delete to end of line
d0,delete to beginning of line
dG,delete to end of file
dgg,delete to beginning of file
d/pattern,delete up to next occurrence of pattern
d?pattern,delete up to previous occurrence of pattern
dF<char>,delete up to and including previous occurrence of character
dT<char>,delete up to but not including previous occurrence of character
di%,delete between matching parentheses or brackets
daw,delete a word including trailing whitespace
diw,delete inner word
das,delete a sentence
dis,delete inner sentence
"da""",delete a double-quoted string including quotes
"di""",delete inner double-quoted string
dap,delete a paragraph
di(,delete inner parentheses
da(,delete parentheses including contents
di{,delete inner braces
da{,delete braces including contents
di[,delete inner brackets
da[,delete brackets including contents
d',delete to previous mark
d``,delete to previous position
dH,delete to top of screen
dM,delete to middle of screen
dL,delete to bottom of screen
dCtrl+U,delete half a screen up
dCtrl+D,delete half a screen down
dCtrl+F,delete one screen down
dCtrl+B,delete one screen up
dj,delete one line down
dk,delete one line up
dCtrl+w,delete one word backward
dw,delete one word forward
dT<Tab>,delete one tab backward
d<Tab>,delete one tab forward
dj,delete one line forward
d},delete to end of paragraph
d},delete to end of block
D,delete to end of case
d},delete to end of function definition
d,delete to end of class definition
df),delete to end of function call
d},delete to end of class definition
dG,delete to end of case
Y,copy (yank) entire line
y$,copy (yank) from cursor to end of line
y0,copy (yank) from cursor to beginning of line
y^,copy (yank) from cursor to first non-blank character of line
yG,copy (yank) from cursor to end of file
ygg,copy (yank) from cursor to beginning of file
yj,copy (yank) current line and next line
y-,copy (yank) current line and previous line
y3w,copy (yank) current word and next two words
y3b,copy (yank) current word and previous two words
y/word,copy (yank) from cursor to next occurrence of 'word'
y?word,copy (yank) from cursor to previous occurrence of 'word'
y%,"copy (yank) from cursor to matching parenthesis, bracket, or brace"
v$hy,"copy (yank) from cursor to end of line, excluding the last character"
y0,"copy (yank) from cursor to beginning of line, including the first character"
yy,copy the current line
2yy,copy the current line and the next line
3yy,copy the current line and the next two lines
2yy,copy the current line and the line below
y2k,copy the current line and the line above
y$,copy from the cursor to the end of the line
y0,copy from the cursor to the beginning of the line
yG,copy from the cursor to the end of the file
ygg,copy from the cursor to the beginning of the file
y2w,copy the current word and the next word
y2b,copy the current word and the previous two words
y2j|2j,"copy the current line and the next line, then move down two lines"
2yy2k,"copy the current line and the previous line, then move up two lines"
y/word,copy from the cursor to the next occurrence of 'word'
y?word,copy from the cursor to the previous occurrence of 'word'
"yf,","copy from the cursor to the next comma, including the comma"
"yF,","copy from the cursor to the previous comma, including the comma"
"yt,",copy from the cursor to just before the next comma
"yT,",copy from the cursor to just before the previous comma
dd,delete the entire line
3dd,delete three consecutive lines
dG,delete from the cursor to the end of the file
dgg,delete from the cursor to the beginning of the file
dW,delete the current word and the following whitespace
dB,delete the current word and the preceding whitespace
dE,delete to the end of the current word
df<char>,delete up to and including the next occurrence of <char> in the current line
dt<char>,delete up to but not including the next occurrence of <char> in the current line
d/<pattern>,delete from the cursor to the next occurrence of <pattern>
d?pattern,delete from the cursor to the previous occurrence of <pattern>
di(,"delete the content inside the current pair of matching parentheses, brackets, or braces"
daw,"delete a word under the cursor, including surrounding whitespace"
diw,"delete the word under the cursor, excluding surrounding whitespace"
d2j,delete the next two lines
d4k,delete the current line and the previous four lines
d3b,delete the previous three words
"df,",delete up to and including the next comma
dt.,delete up to but not including the next period
d/word/e,delete up to and including the next occurrence of 'word'
d?word,delete up to and including the previous occurrence of 'word'
daw,delete a word including surrounding whitespace
diw,delete inner word without surrounding whitespace
da{,delete a block of text surrounded by braces
2dd,delete the current line and the next line
d2$,delete from the cursor to the end of the next line
2p,paste the yanked content twice after the cursor
ywP,yank a word and paste it before the cursor
dwp,delete a word and paste it after the cursor
y$P,yank from the cursor to the end of the line and paste it before the cursor
3ddp,delete three lines and paste them after the cursor
yyP,yank the current line and paste it before the cursor
d2jP,delete two lines below and paste them before the cursor
yapP,yank a paragraph and paste it before the cursor
d2wp,delete two words and paste them after the cursor
y2wp,yank two words and paste them after the cursor
d$P,delete from the cursor to the end of the line and paste it before the cursor
y2jP,yank two lines below and paste them before the cursor
2ddp,delete two lines and paste them after the cursor
2yyP,yank two lines and paste them before the cursor
ddP,delete the line and paste it before the cursor
2P,paste the yanked content twice before the cursor
2ddP,delete two lines and paste them before the cursor
Pj,paste the yanked content before the current line and move down one line
Pk,paste the yanked content before the current line and move up one line
$P,paste the yanked content before the end of the line
0P,paste the yanked content before the beginning of the line
P,paste the yanked content before the current word
eP,paste the yanked content before the current word's end
2wP,paste the yanked content before the next two words
3eP,paste the yanked content before the end of the next three words
%P,paste the yanked content before the matching parenthesis
/patternP,paste the yanked content before the next occurrence of the search pattern
ffP,paste the yanked content before the next occurrence of the character 'f' in the current line
2fP,paste the yanked content before the next two occurrences of the character 'f' in the current line
c,change the marked text
Ctrl+r,redo the last undone change
x,delete the character under the cursor
X,delete the character before the cursor
yy,yank the current line
3dd,delete the current and next two lines
3yy,yank the current and next two lines
diw,delete the current word
3dw,delete the current and next two words
caw,change the current word
3cw,change the current and next two words
C,change from the cursor to the end of the line
ci(,change inside the parentheses
di(,delete inside the parentheses
yi(,yank inside the parenthesesdd
ca(,change around the parentheses
da(,delete around the parentheses
ya(,yank around the parentheses
"ci""",change inside the double quotes
"di""",delete inside the double quotes
"yi""",yank inside the double quotes
"ca""",change around the double quotes
"da""",delete around the double quotes
"ya""",yank around the double quotes
ci',change inside the single quotes
di',delete inside the single quotes
yi',yank inside the single quotes
ca',change around the single quotes
da',delete around the single quotes
ya',yank around the single quotes
ci{,change inside the curly braces
di{,delete inside the curly braces
yi{,yank inside the curly braces
ca{,change around the curly braces
da{,delete around the curly braces
ya{,yank around the curly braces
ci[,change inside the square brackets
di[,delete inside the square brackets
yi[,yank inside the square brackets
ca[,change around the square brackets
da[,delete around the square brackets
ya[,yank around the square brackets
Vj,select the current line and the line below
V2j,select the current line and the next two lines
V2k,select the current line and the two lines above
v$,select from the cursor position to the end of the current line
v0,select from the cursor position to the beginning of the current line
Vgg,select from the cursor position to the beginning of the file
vG,select from the cursor position to the end of the file
viw,select the current word
v2w,select the current word and the next word
vb,select the current word and the previous word
"vf,",select from the cursor position to the next comma
"v2f,",select from the cursor position to the second comma ahead
v3t.,select from the cursor position to just before the third occurrence of a period
v3f.,select from the cursor position to just after the third occurrence of a period
d$,delete the selected lines from the cursor position to the end of the line
d0,delete the selected lines from the cursor position to the beginning of the line
dgg,delete the selected lines from the cursor position to the beginning of the file
dG,delete the selected lines from the cursor position to the end of the file
dw,delete the selected word
2dw,delete the selected word and the next word
d2b,delete the selected word and the previous word
"df,",delete the selected text from the cursor position to the next comma
"d2df,",delete the selected text from the cursor position to the second comma ahead
3dt.,delete the selected text from the cursor position to just before the third occurrence of a period
d3f.,delete the selected text from the cursor position to just after the third occurrence of a period
"Ctrl+v, I",insert text at the beginning of each line in the block
"Ctrl+v, A",append text at the end of each line in the block
"Ctrl+v, d",delete the selected block
"Ctrl+v, y",yank (copy) the selected block
"Ctrl+v, c",change the selected block
"Ctrl+v, >",indent the selected block
"Ctrl+v, <",un-indent the selected block
"Ctrl+v, r",replace the selected block with a single character
"Ctrl+v, s",substitute the selected block with new text
"Ctrl+v, o",move the cursor to the other end of the block
p,paste the yanked block after the cursor
"Ctrl+v, P",paste the yanked block before the cursor
"Ctrl+v, U",convert the selected block to uppercase
gu,convert the selected block to lowercase
"Ctrl+v, ~",toggle the case of the selected block
VJ,join the lines in the selected block
"Ctrl+v, ""_d",delete the selected block without yanking
"Ctrl+v, ""_c",change the selected block without yanking
Ctrl+v y,yank the selected block without deleting
n,find the next occurrence within the selected block
N,find the previous occurrence within the selected block
d$,delete from cursor to end of line
dG,delete from cursor to end of file
dgg,delete from cursor to beginning of file
d%,delete from cursor to matching parenthesis or bracket
d2j,delete current line and next two lines
d3w,delete current word and next two words
d3t;,delete from cursor to third occurrence of ';'
d/word,delete from cursor to next occurrence of 'word'
d?word,delete from cursor to previous occurrence of 'word'
"d2f,","delete from cursor to second occurrence of ','"
d3f.,delete from cursor to third occurrence of '.'
d2f),delete from cursor to second closing parenthesis
d2f],delete from cursor to second closing bracket
"d2f""",delete from cursor to second double quote
d2f',delete from cursor to second single quote
d2f`,delete from cursor to second backtick
d2f<,delete from cursor to second less-than sign
vaw,visually select a word
daw,delete a word
cw,change a word
yaw,yank (copy) a word
da(,delete a block with ()
a{,select a block with {
ciB,change inside a block with {
cab,change around a block with {
di{,delete inside a block with {
da{,delete around a block with {
yi{,yank inside a block with {
ya{,yank around a block with {
viB,visually select inside a block with {
va{,visually select around a block with {
va(,select a block with ()
vi[,select a block with []
vi{,select a block with {
vi',select a block with ''
vi`,select a block with ``
di<,select a block with <> and delete it
da(,select a block with () and delete it
di[,select a block with [] and delete it
va{,select a block with {
yi<,select a block with <> and yank it
yi(,select a block with () and yank it
