key,description
2j,move the cursor down two lines
3j,move the cursor down three lines
5j,move the cursor down five lines
10j,move the cursor down ten lines
k,move the cursor up
2k,move the cursor up two lines
3k,move the cursor up three lines
5k,move the cursor up five lines
10k,move the cursor up ten lines
gg,move the cursor to the beginning of the document
G,move the cursor to the end of the document
H,move the cursor to the top of the screen
M,move the cursor to the middle of the screen
L,move the cursor to the bottom of the screen
w,move the cursor to the beginning of the next word
e,move the cursor to the end of the current word
b,move the cursor to the beginning of the previous word
f<char>,move the cursor forward to the next occurrence of <char> on the current line
t<char>,move the cursor forward to just before the next occurrence of <char> on the current line
d3j,delete the next three lines
y2j,yank (copy) the next two lines
c5j,change (delete and start insert) the next five lines
3j,move the cursor down three lines
2k,move the cursor up two lines
5j,move the cursor down five lines
10j,move the cursor down ten lines
gg,move the cursor to the beginning of the document
G,move the cursor to the end of the document
H,move the cursor to the top of the screen
M,move the cursor to the middle of the screen
L,move the cursor to the bottom of the screen
w,move the cursor to the beginning of the next word
e,move the cursor to the end of the current word
b,move the cursor to the beginning of the previous word
f<char>,move the cursor forward to the next occurrence of <char> on the current line
t<char>,move the cursor forward to just before the next occurrence of <char> on the current line
d3j,delete the next three lines
y2j,yank (copy) the next two lines
c5j,change (delete and start insert) the next five lines
k,move the cursor up
k2j,move the cursor up two lines
k3w,move the cursor up three words
k$,move the cursor up to the end of the line
k0,move the cursor up to the beginning of the line
k^,move the cursor up to the first non-blank character of the line
kG,move the cursor up to the beginning of the file
kgg,move the cursor up to the beginning of the file
kCtrl+u,move the cursor up half a screen
kCtrl+b,move the cursor up one full screen
kCtrl+d,move the cursor down half a screen
kCtrl+f,move the cursor down one full screen
kM,move the cursor to the middle of the screen
kH,move the cursor to the top of the screen
kL,move the cursor to the bottom of the screen
kCtrl+o,move the cursor to the previous cursor position
kCtrl+i,move the cursor to the next cursor position
kCtrl+g,display the current line number and file status information
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
l,move the cursor right
ll,move the cursor two characters right
3l,move the cursor three characters right
w,move the cursor to the beginning of the next word
e,move the cursor to the end of the current word
b,move the cursor to the beginning of the previous word
W,move the cursor to the beginning of the next WORD
E,move the cursor to the end of the current WORD
B,move the cursor to the beginning of the previous WORD
f<char>,move the cursor to the next occurrence of <char> on the current line
t<char>,move the cursor to just before the next occurrence of <char> on the current line
F<char>,move the cursor to the previous occurrence of <char> on the current line
T<char>,move the cursor to just after the previous occurrence of <char> on the current line
0,move the cursor to the beginning of the current line
$,move the cursor to the end of the current line
^,move the cursor to the first non-blank character of the current line
gg,move the cursor to the beginning of the file
G,move the cursor to the end of the file
H,move the cursor to the top of the screen
M,move the cursor to the middle of the screen
L,move the cursor to the bottom of the screen
Ctrl+f,move the cursor one full screen down
Ctrl+b,move the cursor one full screen up
Ctrl+d,move the cursor half a screen down
Ctrl+u,move the cursor half a screen up
Ctrl+e,move the screen down one line
Ctrl+y,move the screen up one line
Ctrl+o,jump to the previous location in the jump list
Ctrl+i,jump to the next location in the jump list
Ctrl+],move the cursor to the definition of the function under the cursor
Ctrl+t,move the cursor to the previous location in the jump list
"Ctrl+w, w",switch between open windows
"Ctrl+w, h",move to the window to the left
"Ctrl+w, j",move to the window below
"Ctrl+w, k",move to the window above
"Ctrl+w, l",move to the window to the right
"Ctrl+w, H",move the current window to the far left
"Ctrl+w, J",move the current window to the bottom
"Ctrl+w, K",move the current window to the top
"Ctrl+w, L",move the current window to the far right
"Ctrl+w, =",make all windows equal size
"Ctrl+w, +",increase the height of the current window
"Ctrl+w, -",decrease the height of the current window
"Ctrl+w, >",increase the width of the current window
"Ctrl+w, <",decrease the width of the current window
"Ctrl+w, s",split the window horizontally
"Ctrl+w, v",split the window vertically
"Ctrl+w, q",close the current window
"Ctrl+w, c",close the current window and its buffer
"Ctrl+w, o",close all other windows
"Ctrl+w, p",switch to the previously used window
"Ctrl+w, t",open a new tab page
"Ctrl+w, n",open the next tab page
"Ctrl+w, p",open the previous tab page
"Ctrl+w, x",close the current tab page
"Ctrl+w, X",close all other tab pages
"Ctrl+w, T",open a new tab page with the current buffer
"Ctrl+w, W",move the current tab page to the next position
"Ctrl+w, E",move the current tab page to the previous position
"Ctrl+w, M",move the current tab page to the last position
"Ctrl+w, N",move the current tab page to the first position
"Ctrl+w, L",move the current tab page to the right
"Ctrl+w, H",move the current tab page to the left
"Ctrl+w, R",reload the current tab page
"Ctrl+w, S",split the current tab page horizontally
"Ctrl+w, V",split the current tab page vertically
"Ctrl+w, Q",close the current tab page and its windows
"Ctrl+w, C",close the current tab page and its windows and buffers
"Ctrl+w, O",close all other tab pages and their windows
"Ctrl+w, P",switch to the previously used tab page
"Ctrl+w, N",switch to the next tab page
"Ctrl+w, P",switch to the previous tab page
"Ctrl+w, T",open a new tab page with the current buffer
b,move to the start of a word
2b,move back two words
3b,move back three words
bW,move to the start of a WORD
2bW,move back two WORDS
3bW,move back three WORDS
d2b,delete backward two words
d3b,delete backward three words
d2bW,delete backward two WORDS
d3bW,delete backward three WORDS
ciw,change inside word
diw,delete inside word
yiw,yank inside word
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciW,change inside WORD
diW,delete inside WORD
yiW,yank inside WORD
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
diB,delete inside block
yiB,yank inside block
ciB,change inside block
B,move to the start of a token
dB,delete backward to the start of the current token
dB2,delete backward to the start of the previous token
dB3,delete backward to the start of the token before that
dB4,delete backward to the start of the token before that
dB5,delete backward to the start of the token before that
dB6,delete backward to the start of the token before that
dB7,delete backward to the start of the token before that
dB8,delete backward to the start of the token before that
dB9,delete backward to the start of the token before that
dB10,delete backward to the start of the token before that
dB11,delete backward to the start of the token before that
dB12,delete backward to the start of the token before that
dB13,delete backward to the start of the token before that
dB14,delete backward to the start of the token before that
dB15,delete backward to the start of the token before that
dB16,delete backward to the start of the token before that
dB17,delete backward to the start of the token before that
dB18,delete backward to the start of the token before that
dB19,delete backward to the start of the token before that
dB20,delete backward to the start of the token before that
w,move to the start of the next word
2w,move to the start of the second next word
3w,move to the start of the third next word
d2w,delete the next two words
d3w,delete the next three words
dW,delete the next WORD
d3W,delete the next three WORDS
c2w,change the next two words
c3w,change the next three words
ciw,change inside the current word
diw,delete inside the current word
yiw,yank inside the current word
daw,delete around the current word
caw,change around the current word
d2w,delete the next two words
d3w,delete the next three words
dW,delete the next WORD
d3W,delete the next three WORDS
ciw,change inside the current word
diw,delete inside the current word
yiw,yank inside the current word
daw,delete around the current word
caw,change around the current word
W,move to the start of the next token
dW,delete from the cursor to the start of the next token
d2W,delete from the cursor to the start of the next two tokens
d3W,delete from the cursor to the start of the next three tokens
d4W,delete from the cursor to the start of the next four tokens
d5W,delete from the cursor to the start of the next five tokens
d6W,delete from the cursor to the start of the next six tokens
d7W,delete from the cursor to the start of the next seven tokens
d8W,delete from the cursor to the start of the next eight tokens
d9W,delete from the cursor to the start of the next nine tokens
dW,delete from the cursor to the start of the next token
dW,delete from the cursor to the start of the next token
dW,delete from the cursor to the start of the next token
dW,delete from the cursor to the start of the next token
dW,delete from the cursor to the start of the next token
dW,delete from the cursor to the start of the next token
dW,delete from the cursor to the start of the next token
dW,delete from the cursor to the start of the next token
dW,delete from the cursor to the start of the next token
e,move to the end of a word
ge,move to the end of the previous word
w,move to the beginning of the next word
b,move to the beginning of the previous word
d$e,delete from the cursor to the end of the current word
dwe,delete from the cursor to the end of the next word
ce,change the current word to the end of the next word
yiw,yank the inner word under the cursor
yiW,yank the inner WORD under the cursor
ciw,change the inner word under the cursor
ciW,change the inner WORD under the cursor
d2e,delete to the end of the next two words
d3e,delete to the end of the next three words
d2we,"delete to the end of the next two words, including punctuation"
d3we,"delete to the end of the next three words, including punctuation"
d$e,"delete from the cursor to the end of the current line, including the end of the current word"
d$E,"delete from the cursor to the end of the current line, including the end of the current WORD"
d0e,"delete from the cursor to the beginning of the current line, including the end of the current word"
d0E,"delete from the cursor to the beginning of the current line, including the end of the current WORD"
E,move to the end of a token
dE,delete to the end of a token
cE,change to the end of a token
yE,yank to the end of a token
d2E,delete to the end of the second token
c3E,change to the end of the third token
dEw,delete to the end of the current word
dE$,delete to the end of the line
dE0,delete to the beginning of the line
dE3w,delete to the end of the third word
dE2$,delete to the end of the second line
dE%,delete to the matching parenthesis
dE),delete to the end of the current sentence
0,jump to the beginning of the line
0d$,delete from the beginning to the end of the line
0D,delete from the beginning to the end of the line without moving the cursor
0w,move to the beginning of the next word
0b,move to the beginning of the previous word
0e,move to the end of the current word
0E,move to the end of the current WORD
0f<char>,move to the next occurrence of <char> in the current line
0F<char>,move to the previous occurrence of <char> in the current line
0t<char>,move to just before the next occurrence of <char> in the current line
0T<char>,move to just before the previous occurrence of <char> in the current line
0gg,move to the beginning of the file
0G,move to the end of the file
0H,move to the top of the screen
0M,move to the middle of the screen
0L,move to the bottom of the screen
0Ctrl+u,move half a screen up
0Ctrl+d,move half a screen down
0Ctrl+f,move a full screen down
0Ctrl+b,move a full screen up
00,move to the beginning of the current line
0^,move to the first non-blank character of the current line
0$,move to the end of the current line
0g_,move to the last non-blank character of the current line
0Ctrl+g,display file information
0Ctrl+o,jump to the previous location in the jump list
0Ctrl+i,jump to the next location in the jump list
0Ctrl+],jump to the definition of the symbol under the cursor
0Ctrl+t,jump back from the definition of the symbol under the cursor
0Ctrl+w w,switch between open windows
0Ctrl+w h,move to the window to the left
0Ctrl+w j,move to the window below
0Ctrl+w k,move to the window above
0Ctrl+w l,move to the window to the right
0Ctrl+w v,split the window vertically
0Ctrl+w s,split the window horizontally
0Ctrl+w q,close the current window
0Ctrl+w o,close all other windows
0Ctrl+w =,equalize the size of all windows
0Ctrl+w _,maximize the current window vertically
0Ctrl+w |,maximize the current window horizontally
0Ctrl+w t,open a new tab page
0Ctrl+w n,go to the next tab page
0Ctrl+w p,go to the previous tab page
0Ctrl+w c,close the current tab page
0Ctrl+w o,close all other tab pages
0Ctrl+w =,equalize the size of all tab pages
0Ctrl+w _,maximize the current tab page vertically
0Ctrl+w |,maximize the current tab page horizontally
0Ctrl+w T,open a new tab page with a new window
0Ctrl+w N,open a new tab page with a new window and start editing a new file
0Ctrl+w P,go to the previous tab page
0Ctrl+w N,go to the next tab page
0Ctrl+w W,list all open windows
0Ctrl+w L,move the current window to the last position in the window list
0Ctrl+w H,move the current window to the first position in the window list
0Ctrl+w M,move the current window to the middle position in the window list
0Ctrl+w R,reverse the order of the windows in the window list
0Ctrl+w S,split the current window horizontally
0Ctrl+w V,split the current window vertically
0Ctrl+w T,open a new tab page with a new window
0Ctrl+w N,open a new tab page with a new window and start editing a new file
0Ctrl+w P,go to the previous tab page
0Ctrl+w N,go to the next tab page
0Ctrl+w W,list all open windows
0Ctrl+w L,move the current window to the last position in the window list
0Ctrl+w H,move the current window to the first position in the window list
0Ctrl+w M,move the current window to the middle position in the window list
0Ctrl+w R,reverse the order of the windows in the window list
0Ctrl+w S,split the current window horizontally
0Ctrl+w V,split the current window vertically
0Ctrl+w T,open a new tab page with a new window
0Ctrl+w N,open a new tab page with a new window and start editing a new file
0Ctrl+w P,go to the previous tab page
0Ctrl+w N,go to the next tab page
0Ctrl+w W,list all open windows
0Ctrl+w L,move the current window to the last position in the window list
0Ctrl+w H,move the current window to the first position in the window list
0Ctrl+w M,move the current window to the middle position in the window list
0Ctrl+w R,reverse the order of the windows in the window list
0Ctrl+w S,split the current window horizontally
0Ctrl+w V,split the current window vertically
0Ctrl+w T,open a new tab page with a new window
0Ctrl+w N,open a new tab page with a new window and start editing a new file
0Ctrl+w P,go to the previous tab page
0Ctrl+w N,go to the next tab page
0Ctrl+w W,list all open windows
0Ctrl+w L,move the current window to the last position in the window list
0Ctrl+w H,move the current window to the first position in the window list
0Ctrl+w M,move the current window to the middle position in the window list
0Ctrl+w R,reverse the order of the windows in the window list
0Ctrl+w S,split the current window horizontally
0Ctrl+w V,split the current window vertically
0Ctrl+w T,open a new tab page with a new window
0Ctrl+w N,open a new tab page with a new window and start editing a new file
0Ctrl+w P,go to the previous tab page
0Ctrl+w N,go to the next tab page
0Ctrl+w W,list all open windows
0Ctrl+w L,move the current window to the last position in the window list
0Ctrl+w H,move the current window to the first position in the window list
0Ctrl+w M,move the current window to the middle position in the window list
0Ctrl+w R,reverse the order of the windows in the window list
0Ctrl+w S,split the current window horizontally
0Ctrl+w V,split the current window vertically
0,Move to the end of the current line
0$,"Move to the end of the current line, including the newline character"
0j$,"Move to the end of the line, then down one line"
0k$,"Move to the end of the line, then up one line"
0w$,"Move to the end of the current word, then to the end of the line"
0b$,"Move to the end of the previous word, then to the end of the line"
0f;$,"Move to the next occurrence of ';' on the current line, then to the end of the line"
0t;$,"Move to just before the next occurrence of ';' on the current line, then to the end of the line"
0d$,Delete from the cursor position to the end of the line
0C$,Change from the cursor position to the end of the line
0D$,Delete from the cursor position to the end of the line without entering insert mode
0Y$,Yank from the cursor position to the end of the line
0gU$,Change the case of the current line to uppercase
0gu$,Change the case of the current line to lowercase
0g~$,Toggle the case of the current line
0>>$,Indent the current line one shiftwidth to the right
0<<$,Indent the current line one shiftwidth to the left
0gq$,Format the current line to fit within the 'textwidth' setting
0gqG$,Format the current line and all following lines to fit within the 'textwidth' setting
^,jump to the first (non-blank) character of the line
0,move to the beginning of the line
$,move to the end of the line
gg,move to the first line of the file
G,move to the last line of the file
w,move to the beginning of the next word
e,move to the end of the next word
b,move to the beginning of the previous word
f<char>,move to the next occurrence of <char> in the current line
t<char>,move to just before the next occurrence of <char> in the current line
F<char>,move to the previous occurrence of <char> in the current line
T<char>,move to just before the previous occurrence of <char> in the current line
d^,delete from the cursor position to the first non-blank character of the line
c^,change from the cursor position to the first non-blank character of the line
y^,yank from the cursor position to the first non-blank character of the line
d0,delete from the cursor position to the beginning of the line
c0,change from the cursor position to the beginning of the line
y0,yank from the cursor position to the beginning of the line
d$,delete from the cursor position to the end of the line
c$,change from the cursor position to the end of the line
y$,yank from the cursor position to the end of the line
dgg,delete from the cursor position to the first line of the file
cgg,change from the cursor position to the first line of the file
ygg,yank from the cursor position to the first line of the file
dG,delete from the cursor position to the last line of the file
cG,change from the cursor position to the last line of the file
yG,yank from the cursor position to the last line of the file
dW,delete from the cursor position to the beginning of the next WORD
cW,change from the cursor position to the beginning of the next WORD
yW,yank from the cursor position to the beginning of the next WORD
dB,delete from the cursor position to the beginning of the previous WORD
cB,change from the cursor position to the beginning of the previous WORD
yB,yank from the cursor position to the beginning of the previous WORD
dE,delete from the cursor position to the end of the next WORD
cE,change from the cursor position to the end of the next WORD
yE,yank from the cursor position to the end of the next WORD
dF<char>,delete from the cursor position to the next occurrence of <char> in the current line
cF<char>,change from the cursor position to the next occurrence of <char> in the current line
yF<char>,yank from the cursor position to the next occurrence of <char> in the current line
dT<char>,delete from the cursor position to just before the next occurrence of <char> in the current line
cT<char>,change from the cursor position to just before the next occurrence of <char> in the current line
yT<char>,yank from the cursor position to just before the next occurrence of <char> in the current line
dF<char>,delete from the cursor position to the previous occurrence of <char> in the current line
cF<char>,change from the cursor position to the previous occurrence of <char> in the current line
yF<char>,yank from the cursor position to the previous occurrence of <char> in the current line
dT<char>,delete from the cursor position to just before the previous occurrence of <char> in the current line
cT<char>,change from the cursor position to just before the previous occurrence of <char> in the current line
yT<char>,yank from the cursor position to just before the previous occurrence of <char> in the current line
d%,"delete from the cursor position to the matching parenthesis, bracket, or brace"
c%,"change from the cursor position to the matching parenthesis, bracket, or brace"
y%,"yank from the cursor position to the matching parenthesis, bracket, or brace"
d{,delete from the cursor position to the beginning of the current paragraph
c{,change from the cursor position to the beginning of the current paragraph
